,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
278858,OWID_NAM,,North America,2024-08-04,124492666.0,454.0,1671178.0,619.0
405124,USA,North America,United States,2024-08-04,103436829.0,,1193165.0,619.0
75343,CHN,Asia,China,2024-08-04,99373219.0,2087.0,122304.0,15.0
359237,OWID_SAM,,South America,2024-08-04,68809418.0,1308.0,1354187.0,1.0
132040,FRA,Europe,France,2024-08-04,38997490.0,,168091.0,
142084,DEU,Europe,Germany,2024-08-04,38437756.0,,174979.0,
51907,BRA,South America,Brazil,2024-08-04,37511921.0,0.0,702116.0,0.0
360911,KOR,Asia,South Korea,2024-08-04,34571873.0,0.0,35934.0,0.0
190299,JPN,Asia,Japan,2024-08-04,33803572.0,0.0,74694.0,0.0
403450,GBR,Europe,United Kingdom,2024-08-04,24974629.0,3400.0,232112.0,0.0
